Mobile_Number,Age,Gender,Appointment_Date,Day_of_Week,Session_Type,Tattoo_Size,Tattoo_Style,Artist_Name,Session_Hours,Final_Rate,Additional_Services,Total_Bill,Payment_Mode,Customer_Satisfaction
5195475598,31,Female,2024-06-02,Sunday,Pre-booked,Small,Script,Artist B,1,49511,Aftercare Kit,50011,Cash,3
5032319170,48,Female,2024-12-28,Saturday,Pre-booked,Small,Custom,Artist A,1,46446,None,46446,UPI,3
3728818981,22,Female,2024-03-14,Thursday,Pre-booked,Small,Script,Artist A,1,22676,Aftercare Kit,23176,UPI,2
3364194056,52,Male,2024-08-25,Sunday,Pre-booked,Medium,Custom,Artist B,4,38384,Consultation Fee,39384,UPI,3
4218853328,40,Female,2024-01-30,Tuesday,Pre-booked,Medium,Tribal,Artist C,3,37119,None,37119,UPI,1
5213849513,46,Female,2024-10-14,Monday,Pre-booked,Large,Realism,Artist D,5,3226,Piercing,4726,UPI,5
4439622619,28,Female,2024-07-30,Tuesday,Pre-booked,Sleeve/Back,Custom,Artist C,7,15648,Consultation Fee,16648,Card,3
3401094954,35,Male,2024-08-01,Thursday,Pre-booked,Medium,Realism,Artist B,2,39840,Aftercare Kit,40340,UPI,3
4008752943,29,Male,2024-10-12,Saturday,Walk-in,Small,Script,Artist D,2,46924,Consultation Fee,47924,UPI,2
4333241445,26,Male,2024-09-28,Saturday,Walk-in,Small,Tribal,Artist C,2,23739,Aftercare Kit,24239,UPI,1
3964824319,27,Female,2024-03-09,Saturday,Walk-in,Large,Custom,Artist A,4,25173,Consultation Fee,26173,Cash,2
3855256552,34,Male,2024-07-17,Wednesday,Pre-booked,Small,Script,Artist A,2,6339,Consultation Fee,7339,UPI,2
3632880459,24,Male,2024-05-04,Saturday,Pre-booked,Small,Minimalist,Artist C,2,11784,None,11784,Card,3
3104906255,30,Other,2024-05-10,Friday,Pre-booked,Large,Script,Artist C,4,20380,None,20380,UPI,1
3198486416,26,Male,2024-04-14,Sunday,Walk-in,Medium,Realism,Artist C,4,4042,Aftercare Kit,4542,Cash,3
4051590706,44,Male,2024-06-18,Tuesday,Walk-in,Sleeve/Back,Tribal,Artist C,7,24226,None,24226,Card,3
5040695043,19,Male,2024-11-27,Wednesday,Pre-booked,Medium,Tribal,Artist C,4,26591,Aftercare Kit,27091,Cash,3
3312794864,22,Female,2024-02-10,Saturday,Walk-in,Small,Script,Artist D,2,43059,Aftercare Kit,43559,Cash,3
4955997540,46,Female,2024-08-18,Sunday,Pre-booked,Sleeve/Back,Minimalist,Artist B,9,37014,Aftercare Kit,37514,Cash,5
4780010572,54,Male,2024-07-08,Monday,Pre-booked,Small,Realism,Artist A,1,12876,None,12876,UPI,4
5472487690,36,Female,2024-02-17,Saturday,Pre-booked,Small,Script,Artist D,1,39419,None,39419,Cash,1
3835092972,25,Male,2024-10-01,Tuesday,Walk-in,Medium,Script,Artist A,3,41694,Aftercare Kit,42194,Card,5
4649174966,18,Female,2024-04-07,Sunday,Walk-in,Small,Tribal,Artist C,2,27530,Aftercare Kit,28030,Cash,4
5123333781,39,Female,2024-01-27,Saturday,Walk-in,Medium,Realism,Artist D,4,14280,Piercing,15780,Card,4
4716495971,34,Female,2024-05-17,Friday,Pre-booked,Small,Minimalist,Artist C,2,41006,None,41006,Cash,4
4047905204,24,Male,2024-07-12,Friday,Pre-booked,Medium,Tribal,Artist C,2,9657,None,9657,Cash,5
3633814084,42,Female,2024-12-10,Tuesday,Walk-in,Small,Script,Artist B,2,22203,Piercing,23703,Card,1
3023814791,21,Female,2024-11-05,Tuesday,Pre-booked,Large,Tribal,Artist B,5,48220,None,48220,UPI,2
3457788949,53,Male,2024-11-04,Monday,Pre-booked,Large,Tribal,Artist B,5,22611,Piercing,24111,Cash,4
4825989011,23,Female,2024-01-21,Sunday,Walk-in,Small,Custom,Artist C,1,48520,None,48520,Cash,2
3939915527,48,Male,2024-02-07,Wednesday,Pre-booked,Small,Tribal,Artist C,2,4072,None,4072,Cash,2
3755427535,36,Female,2024-04-06,Saturday,Pre-booked,Small,Tribal,Artist C,1,19792,Consultation Fee,20792,UPI,3
5224611603,44,Male,2024-10-27,Sunday,Walk-in,Small,Realism,Artist A,1,29123,None,29123,Card,2
4995226582,27,Female,2024-12-09,Monday,Walk-in,Large,Tribal,Artist B,5,7688,None,7688,Card,3
3215686308,43,Male,2024-10-13,Sunday,Pre-booked,Large,Minimalist,Artist C,5,34574,Piercing,36074,Cash,1
5394039673,36,Male,2024-04-21,Sunday,Pre-booked,Small,Script,Artist B,1,17574,Piercing,19074,Card,1
4070298438,20,Male,2024-09-02,Monday,Pre-booked,Small,Realism,Artist B,1,26352,None,26352,Cash,3
3521231222,30,Male,2024-04-16,Tuesday,Pre-booked,Small,Tribal,Artist C,1,31616,Aftercare Kit,32116,Cash,1
4960488639,45,Male,2024-06-19,Wednesday,Pre-booked,Medium,Minimalist,Artist C,4,21833,Aftercare Kit,22333,Card,4
3572687073,37,Male,2024-06-04,Tuesday,Walk-in,Small,Script,Artist B,2,16164,Consultation Fee,17164,Card,1
4995627518,45,Female,2024-01-08,Monday,Pre-booked,Sleeve/Back,Realism,Artist D,10,36412,None,36412,Cash,3
5281194061,25,Male,2024-04-18,Thursday,Pre-booked,Large,Minimalist,Artist A,6,21812,None,21812,UPI,4
5400565848,18,Male,2024-04-07,Sunday,Walk-in,Small,Tribal,Artist D,1,13469,None,13469,UPI,2
4362784338,20,Female,2024-03-01,Friday,Pre-booked,Medium,Custom,Artist A,4,9355,None,9355,Card,2
4900838388,30,Male,2024-09-02,Monday,Pre-booked,Sleeve/Back,Custom,Artist A,9,26524,Aftercare Kit,27024,UPI,2
5168005699,45,Female,2024-05-04,Saturday,Walk-in,Medium,Realism,Artist D,3,4450,None,4450,UPI,3
4832837596,42,Female,2024-12-22,Sunday,Pre-booked,Small,Minimalist,Artist A,2,15244,None,15244,UPI,2
5353092123,50,Female,2024-11-05,Tuesday,Walk-in,Small,Script,Artist C,1,8068,Aftercare Kit,8568,Card,1
4915184358,23,Female,2024-12-26,Thursday,Walk-in,Large,Minimalist,Artist D,4,31083,Aftercare Kit,31583,UPI,2
3683577992,49,Female,2024-04-14,Sunday,Walk-in,Medium,Custom,Artist D,3,35160,Aftercare Kit,35660,Cash,5
5038711176,38,Male,2024-07-22,Monday,Pre-booked,Medium,Realism,Artist D,3,3634,None,3634,Card,5
4933034905,33,Male,2024-05-02,Thursday,Pre-booked,Large,Tribal,Artist A,6,33631,None,33631,Cash,2
4113219231,38,Male,2024-10-09,Wednesday,Walk-in,Large,Minimalist,Artist C,6,34771,None,34771,Cash,2
4061886576,28,Female,2024-06-13,Thursday,Pre-booked,Sleeve/Back,Custom,Artist A,10,12097,None,12097,Card,5
4191043170,54,Male,2024-05-24,Friday,Walk-in,Small,Script,Artist B,2,14465,Aftercare Kit,14965,Cash,2
5238965651,53,Female,2024-07-13,Saturday,Pre-booked,Medium,Realism,Artist D,4,24289,None,24289,UPI,4
5081328344,52,Other,2024-08-26,Monday,Pre-booked,Large,Tribal,Artist B,6,33684,None,33684,Card,5
4027553177,36,Female,2024-09-30,Monday,Pre-booked,Large,Minimalist,Artist C,5,36316,Piercing,37816,Card,3
4179387055,37,Male,2024-11-28,Thursday,Pre-booked,Medium,Script,Artist B,4,22339,None,22339,Cash,5
4889238423,35,Male,2024-07-02,Tuesday,Walk-in,Small,Tribal,Artist C,2,23452,Piercing,24952,Cash,1
3332788471,31,Female,2024-06-06,Thursday,Walk-in,Large,Custom,Artist D,4,11390,None,11390,Card,4
4227193073,32,Female,2024-05-13,Monday,Pre-booked,Large,Custom,Artist A,4,8439,None,8439,UPI,3
4007142260,48,Male,2024-07-03,Wednesday,Pre-booked,Small,Script,Artist C,1,35826,None,35826,Cash,2
4167007513,18,Male,2024-09-19,Thursday,Walk-in,Medium,Custom,Artist D,2,46349,None,46349,Cash,1
4442454200,20,Female,2024-09-11,Wednesday,Walk-in,Small,Realism,Artist B,2,10697,Aftercare Kit,11197,UPI,1
4373142116,33,Female,2024-08-26,Monday,Walk-in,Small,Script,Artist A,2,15447,None,15447,Cash,4
5319936135,40,Female,2024-02-20,Tuesday,Pre-booked,Small,Custom,Artist C,2,49485,Consultation Fee,50485,UPI,3
3346078411,28,Female,2024-08-28,Wednesday,Walk-in,Medium,Minimalist,Artist B,4,4395,None,4395,Card,1
3594312071,29,Female,2024-06-12,Wednesday,Pre-booked,Medium,Custom,Artist A,4,32105,None,32105,Card,3
3647812758,27,Male,2024-04-14,Sunday,Pre-booked,Medium,Realism,Artist D,3,27400,None,27400,Card,3
3993260504,49,Male,2024-07-08,Monday,Pre-booked,Medium,Tribal,Artist B,4,48771,Aftercare Kit,49271,Cash,1
4645124051,33,Male,2024-06-09,Sunday,Walk-in,Large,Tribal,Artist D,4,36232,None,36232,Card,3
3656293602,25,Male,2024-07-30,Tuesday,Pre-booked,Small,Custom,Artist D,1,9591,None,9591,UPI,4
3918920620,29,Female,2024-01-24,Wednesday,Walk-in,Small,Tribal,Artist C,1,2269,None,2269,UPI,1
3275860817,41,Female,2024-10-15,Tuesday,Pre-booked,Large,Custom,Artist A,5,22380,Aftercare Kit,22880,UPI,4
4781844052,45,Female,2024-04-23,Tuesday,Pre-booked,Small,Realism,Artist B,1,4885,Aftercare Kit,5385,UPI,4
4750625978,25,Male,2024-03-15,Friday,Walk-in,Sleeve/Back,Tribal,Artist A,9,47026,Aftercare Kit,47526,Cash,3
4421124738,45,Female,2024-01-09,Tuesday,Pre-booked,Large,Minimalist,Artist D,4,40947,None,40947,UPI,3
5330497115,53,Female,2024-05-13,Monday,Pre-booked,Medium,Custom,Artist A,3,7706,None,7706,Card,1
5001129658,43,Female,2024-10-10,Thursday,Pre-booked,Sleeve/Back,Tribal,Artist A,10,23842,None,23842,UPI,2
4785736751,25,Female,2024-10-26,Saturday,Walk-in,Small,Realism,Artist B,1,32597,Consultation Fee,33597,Card,1
3267429212,45,Male,2024-10-23,Wednesday,Pre-booked,Small,Realism,Artist A,1,5023,Piercing,6523,UPI,4
3888346940,45,Male,2024-08-01,Thursday,Pre-booked,Medium,Minimalist,Artist A,2,8756,None,8756,UPI,3
4804502687,54,Male,2024-05-31,Friday,Pre-booked,Small,Realism,Artist C,2,36116,None,36116,Card,4
4672790155,53,Male,2024-03-19,Tuesday,Pre-booked,Sleeve/Back,Realism,Artist A,7,45187,None,45187,Cash,5
5508601974,44,Male,2024-04-10,Wednesday,Walk-in,Small,Tribal,Artist A,2,22478,None,22478,Card,5
3083889094,34,Female,2024-06-17,Monday,Pre-booked,Medium,Custom,Artist B,2,3473,Consultation Fee,4473,Card,4
5472571231,26,Female,2024-04-27,Saturday,Pre-booked,Medium,Script,Artist C,4,39850,None,39850,UPI,2
4633724084,50,Female,2024-07-13,Saturday,Pre-booked,Medium,Realism,Artist C,3,22456,None,22456,UPI,2
5048612358,37,Female,2024-10-18,Friday,Pre-booked,Small,Realism,Artist B,1,43867,Consultation Fee,44867,Card,1
3025323460,30,Male,2024-05-05,Sunday,Walk-in,Small,Script,Artist C,2,15752,Piercing,17252,Card,1
4510792572,45,Female,2024-09-12,Thursday,Walk-in,Large,Realism,Artist B,4,23029,Aftercare Kit,23529,UPI,1
4282531582,46,Male,2024-10-08,Tuesday,Walk-in,Small,Tribal,Artist D,1,15143,Aftercare Kit,15643,Cash,3
4674979897,30,Male,2024-12-01,Sunday,Walk-in,Large,Tribal,Artist A,5,14618,None,14618,Cash,2
4799682701,52,Male,2024-12-16,Monday,Pre-booked,Medium,Script,Artist C,3,20780,Aftercare Kit,21280,UPI,4
5311639723,23,Male,2024-06-21,Friday,Walk-in,Large,Realism,Artist D,6,20130,Piercing,21630,UPI,5
5345620385,35,Male,2024-05-11,Saturday,Walk-in,Large,Realism,Artist D,6,36883,Piercing,38383,Cash,2
3947206476,22,Male,2024-09-07,Saturday,Pre-booked,Small,Custom,Artist A,1,22915,None,22915,Cash,2
5096929657,42,Male,2024-11-24,Sunday,Pre-booked,Medium,Realism,Artist A,3,30908,Consultation Fee,31908,UPI,2
3942408767,19,Other,2024-09-08,Sunday,Pre-booked,Large,Tribal,Artist C,4,45982,None,45982,UPI,1
4172248246,27,Male,2024-08-23,Friday,Pre-booked,Medium,Minimalist,Artist A,4,9710,Aftercare Kit,10210,UPI,3
4871901278,47,Male,2024-03-27,Wednesday,Walk-in,Sleeve/Back,Minimalist,Artist D,6,19868,Aftercare Kit,20368,Cash,4
5085816511,22,Male,2024-06-29,Saturday,Pre-booked,Medium,Minimalist,Artist C,4,11785,Consultation Fee,12785,UPI,1
3124660666,50,Female,2024-03-27,Wednesday,Pre-booked,Small,Minimalist,Artist C,2,12321,Piercing,13821,Card,3
4670128972,18,Male,2024-03-12,Tuesday,Walk-in,Small,Realism,Artist A,2,19933,Piercing,21433,UPI,2
4443665390,35,Male,2024-10-06,Sunday,Pre-booked,Sleeve/Back,Realism,Artist C,10,9501,Aftercare Kit,10001,Card,3
4736526879,49,Male,2024-09-07,Saturday,Pre-booked,Small,Custom,Artist C,1,2999,None,2999,Cash,1
3708861714,28,Male,2024-04-04,Thursday,Walk-in,Large,Realism,Artist D,6,42825,None,42825,UPI,2
5007425404,38,Male,2024-10-04,Friday,Walk-in,Large,Minimalist,Artist A,6,38675,Aftercare Kit,39175,Cash,1
3548157187,43,Male,2024-11-24,Sunday,Walk-in,Small,Script,Artist A,1,35689,Aftercare Kit,36189,Cash,4
5294043548,42,Male,2024-01-31,Wednesday,Walk-in,Small,Script,Artist B,1,8709,None,8709,UPI,2
3115820025,39,Male,2024-09-25,Wednesday,Pre-booked,Large,Tribal,Artist A,4,15538,None,15538,UPI,3
4692304102,44,Male,2024-01-18,Thursday,Pre-booked,Small,Tribal,Artist C,2,37555,Consultation Fee,38555,UPI,1
5542160120,30,Female,2024-02-08,Thursday,Walk-in,Large,Realism,Artist D,6,24958,None,24958,Card,5
5424045110,50,Female,2024-12-08,Sunday,Pre-booked,Medium,Script,Artist B,4,38003,None,38003,Card,3
3116402431,51,Male,2024-01-25,Thursday,Pre-booked,Medium,Minimalist,Artist D,4,22872,None,22872,UPI,3
3360551585,52,Male,2024-01-04,Thursday,Pre-booked,Large,Minimalist,Artist A,5,19763,Consultation Fee,20763,Cash,2
4840877826,18,Female,2024-07-30,Tuesday,Pre-booked,Small,Minimalist,Artist A,2,11277,Consultation Fee,12277,UPI,3
3582824840,38,Male,2024-03-11,Monday,Walk-in,Medium,Realism,Artist A,3,48160,Aftercare Kit,48660,Cash,1
4982979741,23,Male,2024-11-18,Monday,Pre-booked,Small,Realism,Artist B,1,20564,None,20564,UPI,5
3780520225,45,Female,2024-04-28,Sunday,Pre-booked,Small,Custom,Artist D,2,39623,None,39623,Cash,4
3215970859,34,Male,2024-02-04,Sunday,Pre-booked,Medium,Minimalist,Artist A,3,18044,Piercing,19544,Card,5
4117362852,22,Male,2024-12-28,Saturday,Pre-booked,Large,Minimalist,Artist C,5,13224,None,13224,UPI,1
4628238707,48,Male,2024-03-18,Monday,Walk-in,Small,Realism,Artist B,2,6668,None,6668,Card,2
4405969000,22,Female,2024-01-05,Friday,Pre-booked,Medium,Realism,Artist D,3,22406,None,22406,UPI,1
3909074012,20,Male,2024-04-21,Sunday,Walk-in,Medium,Custom,Artist A,2,42190,None,42190,UPI,3
4952918745,40,Female,2024-09-15,Sunday,Pre-booked,Small,Custom,Artist A,1,24199,None,24199,UPI,2
4403792057,54,Other,2024-08-21,Wednesday,Pre-booked,Small,Tribal,Artist A,2,37427,Piercing,38927,UPI,4
4449553823,54,Male,2024-07-10,Wednesday,Walk-in,Sleeve/Back,Script,Artist B,10,31074,None,31074,Card,4
4628334692,27,Male,2024-01-31,Wednesday,Pre-booked,Large,Minimalist,Artist A,6,5324,None,5324,Cash,1
4195103064,27,Male,2024-11-12,Tuesday,Walk-in,Medium,Minimalist,Artist D,4,10524,Piercing,12024,Cash,3
4810607153,36,Male,2024-11-22,Friday,Pre-booked,Medium,Custom,Artist C,4,3900,Aftercare Kit,4400,Cash,4
4083497965,34,Male,2024-12-07,Saturday,Pre-booked,Small,Custom,Artist C,2,32850,None,32850,Cash,5
3351784589,38,Female,2024-11-11,Monday,Pre-booked,Medium,Tribal,Artist B,4,46269,Piercing,47769,Card,2
5019952485,31,Female,2024-09-04,Wednesday,Pre-booked,Medium,Script,Artist A,4,5306,None,5306,Cash,5
3083250566,26,Female,2024-12-03,Tuesday,Pre-booked,Medium,Tribal,Artist B,3,8942,Aftercare Kit,9442,Cash,4
5316787198,18,Male,2024-09-06,Friday,Pre-booked,Small,Script,Artist D,1,27139,Aftercare Kit,27639,Cash,4
3223705953,30,Female,2024-01-09,Tuesday,Pre-booked,Small,Minimalist,Artist D,1,5525,Consultation Fee,6525,UPI,1
4503068227,21,Female,2024-01-04,Thursday,Pre-booked,Small,Tribal,Artist D,1,7643,Piercing,9143,Card,1
3963026855,18,Female,2024-09-29,Sunday,Walk-in,Sleeve/Back,Custom,Artist D,10,29948,None,29948,Card,2
3294713656,49,Male,2024-10-09,Wednesday,Pre-booked,Medium,Tribal,Artist A,4,27684,None,27684,UPI,1
3172907376,51,Female,2024-07-29,Monday,Walk-in,Medium,Tribal,Artist A,3,13729,Aftercare Kit,14229,Cash,3
3133272825,45,Male,2024-01-07,Sunday,Pre-booked,Small,Minimalist,Artist A,2,48181,Aftercare Kit,48681,UPI,2
4062073697,48,Male,2024-01-09,Tuesday,Walk-in,Small,Custom,Artist B,1,41067,Consultation Fee,42067,UPI,3
3856247605,25,Male,2024-09-28,Saturday,Walk-in,Large,Custom,Artist A,6,40846,Aftercare Kit,41346,Cash,1
3087531510,43,Female,2024-05-20,Monday,Pre-booked,Medium,Realism,Artist B,4,43252,None,43252,UPI,2
3654477195,51,Female,2024-10-01,Tuesday,Pre-booked,Medium,Realism,Artist C,2,47228,Consultation Fee,48228,UPI,4
4024542722,20,Male,2024-05-26,Sunday,Walk-in,Small,Realism,Artist D,2,47833,Aftercare Kit,48333,Card,5
3542114964,29,Male,2024-01-09,Tuesday,Walk-in,Large,Minimalist,Artist C,6,31218,Consultation Fee,32218,UPI,4
5033929266,18,Male,2024-09-14,Saturday,Pre-booked,Small,Tribal,Artist D,1,42390,Aftercare Kit,42890,Cash,3
3491298929,22,Male,2024-12-23,Monday,Pre-booked,Small,Custom,Artist A,2,25306,Aftercare Kit,25806,Cash,4
5422230882,47,Male,2024-12-11,Wednesday,Walk-in,Medium,Custom,Artist A,4,22476,Piercing,23976,Cash,4
3936150587,47,Male,2024-08-08,Thursday,Walk-in,Small,Tribal,Artist C,2,23779,None,23779,Cash,5
4997305752,34,Female,2024-04-01,Monday,Pre-booked,Small,Custom,Artist A,2,14985,None,14985,Cash,5
4100558303,40,Male,2024-02-24,Saturday,Walk-in,Medium,Tribal,Artist A,4,48720,None,48720,UPI,4
4584392711,32,Male,2024-02-19,Monday,Pre-booked,Medium,Minimalist,Artist B,4,45966,Piercing,47466,Cash,5
3720648887,54,Male,2024-09-25,Wednesday,Pre-booked,Large,Minimalist,Artist A,6,36962,Piercing,38462,Card,4
3491914923,38,Female,2024-03-17,Sunday,Pre-booked,Medium,Minimalist,Artist B,3,7147,None,7147,Card,2
3703368777,31,Female,2024-05-03,Friday,Walk-in,Small,Tribal,Artist B,2,32519,None,32519,UPI,4
4335901990,19,Female,2024-04-08,Monday,Pre-booked,Small,Tribal,Artist B,1,39210,None,39210,UPI,1
3464280597,28,Male,2024-11-13,Wednesday,Pre-booked,Sleeve/Back,Script,Artist C,10,10637,Aftercare Kit,11137,UPI,5
5485432021,51,Female,2024-09-26,Thursday,Pre-booked,Medium,Custom,Artist B,2,8089,Aftercare Kit,8589,UPI,5
3110287971,51,Male,2024-05-09,Thursday,Pre-booked,Large,Custom,Artist A,4,47783,None,47783,UPI,3
4339846171,35,Female,2024-06-30,Sunday,Pre-booked,Small,Script,Artist A,2,32688,None,32688,UPI,3
5473028098,47,Female,2024-05-16,Thursday,Pre-booked,Medium,Script,Artist B,2,8374,None,8374,UPI,1
4611931113,32,Female,2024-07-22,Monday,Pre-booked,Small,Minimalist,Artist C,1,31857,None,31857,Cash,5
4703617827,44,Female,2024-02-10,Saturday,Pre-booked,Medium,Script,Artist C,4,22341,None,22341,Card,5
3851819913,51,Female,2024-07-10,Wednesday,Pre-booked,Sleeve/Back,Tribal,Artist C,6,46857,None,46857,UPI,3
3326402374,50,Male,2024-07-26,Friday,Pre-booked,Sleeve/Back,Realism,Artist A,7,44232,None,44232,Card,3
5543040948,41,Female,2024-08-23,Friday,Walk-in,Medium,Tribal,Artist C,3,48544,None,48544,Cash,4
4043030161,32,Male,2024-10-16,Wednesday,Pre-booked,Medium,Script,Artist C,2,32500,None,32500,Card,5
3437662764,47,Male,2024-05-04,Saturday,Pre-booked,Sleeve/Back,Custom,Artist B,8,32837,Piercing,34337,UPI,5
4295287749,34,Male,2024-12-22,Sunday,Walk-in,Medium,Tribal,Artist B,4,17184,Aftercare Kit,17684,Cash,4
3519927529,22,Male,2024-04-25,Thursday,Walk-in,Small,Custom,Artist B,2,16666,None,16666,UPI,5
5430661792,46,Male,2024-06-02,Sunday,Pre-booked,Medium,Tribal,Artist C,2,11418,Consultation Fee,12418,UPI,1
3176390590,21,Male,2024-12-16,Monday,Pre-booked,Small,Custom,Artist C,1,42431,None,42431,UPI,3
4491228808,27,Male,2024-02-11,Sunday,Pre-booked,Medium,Tribal,Artist A,4,18911,Aftercare Kit,19411,UPI,3
5288123416,34,Female,2024-11-30,Saturday,Walk-in,Medium,Custom,Artist C,3,25819,Piercing,27319,UPI,3
4839869544,27,Male,2024-11-28,Thursday,Pre-booked,Medium,Realism,Artist A,2,27695,None,27695,Card,2
4591589823,34,Male,2024-01-17,Wednesday,Walk-in,Small,Minimalist,Artist A,1,14016,Aftercare Kit,14516,Cash,1
3296166921,37,Female,2024-02-17,Saturday,Pre-booked,Small,Tribal,Artist D,2,47849,Piercing,49349,Card,1
5173085046,41,Male,2024-07-26,Friday,Walk-in,Medium,Realism,Artist D,3,45593,Consultation Fee,46593,UPI,4
4465576748,22,Female,2024-07-13,Saturday,Walk-in,Large,Minimalist,Artist A,4,23648,None,23648,UPI,2
3054340558,51,Female,2024-07-12,Friday,Walk-in,Medium,Tribal,Artist B,4,23283,Aftercare Kit,23783,UPI,5
4804138557,23,Female,2024-10-09,Wednesday,Walk-in,Small,Realism,Artist A,1,31706,None,31706,Cash,1
5105400301,19,Female,2024-08-31,Saturday,Walk-in,Sleeve/Back,Realism,Artist B,10,33949,Consultation Fee,34949,Card,2
3453285987,30,Male,2024-01-29,Monday,Walk-in,Sleeve/Back,Realism,Artist D,9,3983,None,3983,Card,2
4861968817,28,Female,2024-11-22,Friday,Pre-booked,Small,Script,Artist D,1,6283,Consultation Fee,7283,Cash,1
4555585773,40,Male,2024-01-05,Friday,Pre-booked,Small,Custom,Artist C,2,33151,Piercing,34651,Cash,4
4974565461,33,Male,2024-12-25,Wednesday,Walk-in,Large,Minimalist,Artist B,6,9398,Aftercare Kit,9898,Cash,2
3657091982,48,Female,2024-03-28,Thursday,Pre-booked,Large,Custom,Artist C,6,25032,Aftercare Kit,25532,UPI,3
4870403050,28,Male,2024-02-12,Monday,Walk-in,Sleeve/Back,Custom,Artist B,6,33368,None,33368,Cash,2
3756502473,33,Female,2024-09-12,Thursday,Pre-booked,Large,Custom,Artist D,5,32227,Aftercare Kit,32727,Cash,5
5240885202,25,Female,2024-08-10,Saturday,Walk-in,Medium,Realism,Artist D,3,13193,Consultation Fee,14193,UPI,1
4159995046,21,Female,2024-11-26,Tuesday,Walk-in,Medium,Custom,Artist C,3,20498,None,20498,Card,5
5311435034,21,Female,2024-06-18,Tuesday,Pre-booked,Small,Script,Artist B,2,24846,Piercing,26346,Cash,4
5076605983,42,Male,2024-10-16,Wednesday,Pre-booked,Small,Tribal,Artist A,1,41612,Aftercare Kit,42112,Cash,3
4996617659,20,Male,2024-02-18,Sunday,Pre-booked,Medium,Realism,Artist A,2,39662,None,39662,Cash,1
4870778191,49,Female,2024-09-27,Friday,Pre-booked,Medium,Minimalist,Artist D,4,10348,None,10348,Cash,2
5544659112,20,Male,2024-01-22,Monday,Pre-booked,Medium,Tribal,Artist B,3,35288,Aftercare Kit,35788,Cash,3
4152750071,44,Female,2024-04-27,Saturday,Walk-in,Large,Tribal,Artist B,4,8745,Aftercare Kit,9245,Card,2
4384287616,46,Female,2024-04-18,Thursday,Walk-in,Small,Tribal,Artist B,2,28587,None,28587,Cash,4
4054393708,49,Female,2024-12-20,Friday,Walk-in,Medium,Custom,Artist D,2,48810,Aftercare Kit,49310,Card,1
3372214308,36,Male,2024-10-17,Thursday,Walk-in,Small,Custom,Artist A,2,9011,None,9011,UPI,4
4197987692,38,Male,2024-08-31,Saturday,Pre-booked,Medium,Realism,Artist D,4,23356,Aftercare Kit,23856,Card,4
4936179853,22,Male,2024-05-18,Saturday,Pre-booked,Large,Custom,Artist D,6,38447,None,38447,UPI,4
4047385483,35,Male,2024-01-24,Wednesday,Walk-in,Medium,Custom,Artist D,4,44562,Piercing,46062,Card,4
4995907669,45,Female,2024-02-08,Thursday,Pre-booked,Sleeve/Back,Custom,Artist B,10,6648,None,6648,Card,2
5447485590,39,Male,2024-12-16,Monday,Pre-booked,Small,Realism,Artist A,1,21799,Piercing,23299,UPI,5
4627746667,38,Male,2024-05-23,Thursday,Walk-in,Medium,Realism,Artist B,4,36914,None,36914,Cash,2
4444812497,23,Male,2024-10-05,Saturday,Walk-in,Small,Script,Artist B,1,32210,Aftercare Kit,32710,Cash,3
3123265537,18,Female,2024-10-15,Tuesday,Walk-in,Medium,Script,Artist A,3,28267,Piercing,29767,UPI,4
5123030247,22,Female,2024-12-02,Monday,Walk-in,Large,Script,Artist C,5,40701,None,40701,Card,3
4395925222,29,Male,2024-01-17,Wednesday,Walk-in,Medium,Script,Artist B,2,29095,None,29095,UPI,2
3780996231,43,Male,2024-04-01,Monday,Pre-booked,Large,Tribal,Artist D,6,17635,None,17635,UPI,4
5094011037,51,Male,2024-06-10,Monday,Walk-in,Small,Tribal,Artist A,1,42689,Consultation Fee,43689,Card,2
3911047815,31,Male,2024-01-09,Tuesday,Walk-in,Large,Script,Artist C,4,17970,None,17970,Card,4
4523961606,43,Female,2024-04-16,Tuesday,Pre-booked,Small,Script,Artist C,1,37910,Consultation Fee,38910,Card,2
4109615163,44,Female,2024-10-27,Sunday,Pre-booked,Large,Minimalist,Artist C,6,12421,None,12421,UPI,1
4461744198,26,Male,2024-03-14,Thursday,Pre-booked,Small,Tribal,Artist D,1,33612,None,33612,UPI,5
4201124041,43,Male,2024-12-30,Monday,Walk-in,Small,Minimalist,Artist C,2,27153,Piercing,28653,UPI,5
4186564497,39,Other,2024-07-22,Monday,Walk-in,Medium,Minimalist,Artist D,2,6329,None,6329,Cash,4
5387104291,47,Male,2024-02-09,Friday,Pre-booked,Sleeve/Back,Custom,Artist B,9,24329,None,24329,UPI,1
3043598698,34,Female,2024-06-02,Sunday,Walk-in,Small,Realism,Artist B,2,15647,Piercing,17147,Cash,3
5218897149,43,Male,2024-03-24,Sunday,Walk-in,Small,Tribal,Artist A,2,47485,None,47485,Cash,1
3820581106,53,Male,2024-10-15,Tuesday,Pre-booked,Large,Script,Artist A,4,40729,Aftercare Kit,41229,UPI,4
3367704871,18,Male,2024-05-03,Friday,Pre-booked,Small,Script,Artist A,1,30255,None,30255,Cash,1
4036616336,25,Male,2024-10-17,Thursday,Pre-booked,Small,Realism,Artist A,2,30531,Aftercare Kit,31031,UPI,3
4745595491,52,Female,2024-07-18,Thursday,Pre-booked,Medium,Tribal,Artist A,2,39172,Aftercare Kit,39672,Cash,4
